constit_name_id,year,cdf_release,cdf_expenditure,cdf_disbursed,overall_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
1,2022,25739911,4657582,23739911,0.18094786730226067,11938162,0,0,NA,NA,NA,NA
1,2023,27261469,18379583,26209036,0.6741963538355178,14279546,6047867,0.4235335633219712,NA,NA,NA,NA
1,2024,23395045,38883176,20695045,0.9704710625697797,28348527,24348557,0.8589002525598597,4851308,770821,226260,0.29353118298541425
2,2022,25739911,4315441,23739911,0.16765563020011995,12855162,0,0,NA,NA,NA,NA
2,2023,27261470,18929968,26222940,0.6943854458325248,14762086,9702240,0.6572404469124485,NA,NA,NA,NA
2,2024,21443482,42866621,18413482,0.886667935030641,28118729,26581332,0.9453248046880071,NA,NA,NA,NA
3,2022,25700000,4686583,23739911,0.1823573151750973,12855162,2477107,0.19269356543309216,NA,NA,NA,NA
3,2023,28198218,34013296,28082534,1.2062214711582129,15216294,8534383,0.5608713264872511,3856453,385745,154348,0.40012961930809215
3,2024,24386872,25449823,21686872,0.6745098081829184,17825525,9899159,0.5553361822442817,6201788,989457,337508,0.34110426223676216
4,2022,25739911,5045635,23739911,0.19602379355546334,11938162,131607,0.01102405881240345,NA,NA,NA,NA
4,2023,28198221,22690089,28082540,0.8046638474107994,15198297,6896431,0.45376340520256975,0,0,0,NA
4,2024,10875971,36853554,8175971,0.9681533484774518,19613051,17796869,0.9073993128351117,9420456,4778124,594677,0.12445826018747107
5,2022,25739911,10166437,23739911,0.3949678380783834,11938162,4210245,0.35267112307572973,NA,NA,NA,NA
5,2023,27261470,27898987,26222940,1.0233852759957551,15324450,12863687,0.8394224262534707,5141831,6122589,0,0
5,2024,10233333,24055214,8000000,0.9867969344629087,13737476,13827097,1.0065238330534663,2765644,2624885,260850,0.09937578217712395
6,2022,25739911,5679510,23739911,0.2206499470802366,11938162,307500,0.025757733895720294,NA,NA,NA,NA
6,2023,27261470,25779146,26209038,0.9456256760915681,14279546,11368053,0.7961074532761756,5083597,245485,128817,0.5247448927633053
6,2024,24845238,42721673,21145238,0.9073280735851631,30120454,28800187,0.9561670949581305,4257288,1394403,873235,0.6262429154268888
7,2022,25739911,4144285,23739911,0.16100618995924268,11938162,307500,0.025757733895720294,NA,NA,NA,NA
7,2023,27261470,24768244,26209038,0.9085439633299305,14762086,13403931,0.9079970811713196,3107808,119059,95130,0.7990156141072914
7,2024,18864608,39120867,15834608,0.9920497042403251,29367939,28532224,0.971543287392418,3668000,2253265,400164,0.17759295954980883
8,2022,25739911,4114386,23739911,0.15984460863131966,11938162,0,0,NA,NA,NA,NA
8,2023,27261470,21991149,26209038,0.8066750985915286,14762086,9978022,0.6759222240000499,3107808,79534,246633,3.100975683355546
8,2024,23236375,42029245,20206375,0.890697935084353,35646625,31074287,0.8717315313862112,NA,NA,NA,NA
9,2022,25489170,8406860,25489170,0.3298208611735886,11938162,2806662,0.23510000953245566,NA,NA,NA,NA
9,2023,27261470,21868151,26209038,0.8021633096087628,14244118,9575785,0.6722624033302729,5678228,769160,329942,0.4289640646939518
9,2024,26649860,39932791,23949860,0.8312905236214688,29767362,25003898,0.8399769519381663,4347533,3019054,133785,0.04431354987356967
10,2022,25739911,2430662,23739911,0.09443163964319845,11938162,0,0,NA,NA,NA,NA
10,2023,21400000,23943510,14486098,1.1188556074766356,11588100,2410589,0.2080227992509557,6137397,613740,0,0
10,2024,16379571,34610236,13679571,0.9476127331122379,21027510,22504306,1.0702316156311422,3581267,1600131,435679,0.27227708231388553
11,2022,25739911,5853255,23739911,0.22739997041947815,11938162,2399545,0.20099785879936963,NA,NA,NA,NA
11,2023,28198221,11473353,28096442,0.4068821575658975,14331977,4275410,0.2983126473060904,5325100,1701402,734136,0.4314888544858887
11,2024,7700000,37275440,5000000,0.8274635357606761,29491268,17512742,0.5938280442875498,7675600,2594735,575427,0.22176715541278783
12,2022,25739911,6370833,23739911,0.24750796535388175,11938162,2717149,0.22760195413665857,NA,NA,NA,NA
12,2023,27261470,20404656,26209038,0.7484796674574041,14279546,11327217,0.7932476984912545,NA,NA,NA,NA
12,2024,23162981,39157888,19962981,0.8864265406255281,27219825,16073121,0.590493179144245,3099025,995651,267947,0.2691173915357892
13,2022,25739911,6132459,23739911,0.23824709417215933,11938162,1471463,0.12325708094763667,NA,NA,NA,NA
13,2023,27261470,21621004,26158878,0.7930975108825753,14762086,2643900,0.17910070433135264,2934350,NA,NA,NA
13,2024,15090000,34445918,12290000,0.9412733497270025,22303004,20317326,0.9109681368482918,6536715,1386079,196784,0.1419717057974329
14,2022,25739911,9152391,23739911,0.355571975365416,11938162,192106,0.016091756838280465,NA,NA,NA,NA
14,2023,28198221,22646618,28082540,0.8031222253347117,15198297,0,0,2445000,272672,32432,0.11894143879826312
14,2024,16192463,38182316,13492463,0.9891212330801038,19017286,20565570,1.0814145614679191,9145200,4609464,275735,0.05981931955646036
15,2022,25739911,3230054,23739911,0.1254881572822843,12855162,0,0,NA,NA,NA,NA
15,2023,27261470,15281367,26209038,0.56054816559782,14279546,4928000,0.34510901116884246,400000,NA,0,NA
15,2024,2825000,34973213,0,0.9990728929690156,19219976,19219203,0.9999597814274066,4153686,2863761,743807,0.25973082250928065
16,2022,25739911,5568897,23739911,0.21635261287422478,11938162,185894,0.015571408731092777,NA,NA,NA,NA
16,2023,27261470,18976954,26222940,0.6961089772488425,14284335,11229995,0.7861755552498594,3009980,1165439,535840,0.4597752434919374
16,2024,11900000,31747158,9000000,0.7925413757363369,22744546,19428803,0.8542181057384043,3129980,2733990,873678,0.3195615199762984
17,2022,25700000,20690498,23749911,0.8050777431906615,11938162,13345330,1.1178714110262535,NA,NA,NA,NA
17,2023,22600000,27483997,16886098,1.2161060619469026,9618075,0,0,3059982,0,751877,Inf
17,2024,23438311,27771299,20738311,0.7407733947341825,21137836,14139385,0.668913553875619,3951600,683692,111576,0.16319629306763864
18,2022,25739911,8762858,23739911,0.34043855085590624,11938162,2701559,0.22629605796939262,NA,NA,NA,NA
18,2023,28198221,24739134,28082540,0.8773296017504083,15269337,2274906,0.148985250636619,NA,NA,NA,NA
18,2024,12360772,31279746,9660772,0.9984302365944571,18734021,19758894,1.054706514954798,4497463,2380225,0,0
19,2022,25700000,4993657,23739911,0.194305719844358,11938162,756548,0.06337223435232325,NA,NA,NA,NA
19,2023,28198221,20272363,28096442,0.71892347393121,29264845,9543326,0.3261020517962764,3624982,589478,0,0
19,2024,11850000,19950300,9100000,0.4985043470299695,26252636,12141728,0.462495575682381,NA,NA,NA,NA
20,2022,25700000,3234849,23739911,0.12586961089494164,11938162,0,0,NA,NA,NA,NA
20,2023,28198221,19313753,28096442,0.6849280669159945,29114603,8176441,0.28083642425074457,2579445,515889,283627,0.5497829959545562
20,2024,12975000,37044229,10500000,0.8495893504848838,34461906,27883689,0.8091162746483029,3492464,719630,431755,0.5999680391312202
21,2022,25739911,4670292,23739911,0.18144165300338452,11938162,456896,0.0382718880846147,NA,NA,NA,NA
21,2023,28198218,29110834,28082534,1.0323643146527912,15216297,6288798,0.41329358910384045,6128872,323348,96381,0.2980720462164603
21,2024,4740650,25302922,1784475,0.9696707455071489,18345792,12169413,0.663335385029984,2962000,4743626,1228063,0.2588869780206112
22,2022,25739911,8660707,23739911,0.3364699668153476,11938162,1660271,0.13907258085457377,NA,NA,NA,NA
22,2023,28198221,30787838,28082540,1.0918361835663322,15331978,6823279,0.445035793816036,2991000,255768,0,0
22,2024,17700000,29500965,15000000,0.9524045733940119,15674169,15363276,0.9801652642637705,3374240,2487921,1206969,0.485131561653284
23,2022,25739911,3993332,23739911,0.1551416397671305,11938162,0,0,NA,NA,NA,NA
23,2023,27261470,20255714,26222940,0.7430162056558212,14337847,957953,0.06681289038723875,6125650,1632058,299287,0.18338012497104883
23,2024,10920000,31336575,8000000,0.8515832061503094,23517998,19269394,0.8193466977928988,3730890,746291,0,0
24,2022,25739911,11690021,23739911,0.45415934033338345,11938162,4189290,0.3509158277463482,NA,NA,NA,NA
24,2023,28198221,30774533,28082540,1.091364345289726,15269337,17544106,1.148976278406849,6093890,905631,267720,0.295617089079327
24,2024,30199134,30568278,30199134,0.7131409750565069,26032937,16107524,0.6187363338988605,3403938,727207,0,0
25,2022,25739911,5742170,23739911,0.22308429893172513,11938162,0,0,NA,NA,NA,NA
25,2023,27261470,19084440,26209038,0.7000517580306564,14756728,14404436,0.9761266860783773,6157602,463346,463346,1
25,2024,18164826,32882286,15464826,0.9319259018505379,22644728,20551188,0.9075484589613971,3492463,425140,0,0
26,2022,25739911,5436438,23739911,0.21120655778491232,11938162,1444142,0.12096853770287253,NA,NA,NA,NA
26,2023,27261470,27848027,26209038,1.021515971075661,14762086,10137318,0.6867131108706452,NA,NA,NA,NA
26,2024,25671564,37225922,22971564,0.8174328807608514,26076612,24479368,0.9387480244749586,5827863,1579147,614990,0.38944442790949796
27,2022,25739911,8716667,23739911,0.3386440225065269,11938162,4680788,0.39208615195538477,NA,NA,NA,NA
27,2023,27261470,40507957,26209038,1.485905088757136,15324450,6355822,0.4147504151861894,NA,NA,NA,NA
27,2024,12850000,24885730,10000000,0.9272884815853399,20925962,16661843,0.796228292873704,4391251,2324915,0,0
28,2022,25739911,4183509,23739911,0.1625300491520736,11938162,1073574,0.08992791352638706,NA,NA,NA,NA
28,2023,27261470,28476450,26209038,1.0445676627122455,14762086,1685532,0.11417979816673605,4543556,478188,219914,0.459890252369361
28,2024,15288898,28953713,12513898,0.8476697925422236,16843654,13043074,0.7743613113876597,3233549,1172897,22114,0.01885417048555841
29,2022,25739911,2670426,23739911,0.10374651256564174,11938162,0,0,NA,NA,NA,NA
29,2023,27261470,22151665,26209038,0.8125631156353638,14762086,1851817,0.1254441276117752,5322805,534481,0,0
29,2024,4532761,27789984,1832761,0.8773471179935631,18689840,17974468,0.9617240168990211,NA,NA,NA,NA
30,2022,25739911,7187379,23739911,0.2792309188637055,11938162,1118829,0.09371869807094257,NA,NA,NA,NA
30,2023,27261470,23390290,26222940,0.8579981196905376,14229546,8730829,0.6135704540397845,5407363,5999803,176406,0.029401965364529468
30,2024,11725000,29267502,9000000,0.8937747383653472,19045906,16630567,0.8731832972398372,5297415,1043850,0,0
31,2022,25739911,10849100,23739911,0.42148941385228567,11938162,1660271,0.13907258085457377,NA,NA,NA,NA
31,2023,28198221,32906134,28096442,1.1669578020542501,15324450,18949030,1.236522681075014,5678228,769160,329942,0.4289640646939518
31,2024,28158722,27944709,25348722,0.7916469260436279,20213750,15202195,0.7520719807062025,3296727,270816,111853,0.41302212572373864
32,2022,25739911,4899420,23739911,0.19034331548388025,11938162,2413190,0.20214083206443337,NA,NA,NA,NA
32,2023,27261470,22718916,26222940,0.8333709077316814,14619613,56575,0.003869801478329146,5575169,5853927,40461,0.006911770508925034
32,2024,14906250,28797766,13000000,0.7536075742599183,20682598,16665265,0.8057626512878121,3410000,3129695,0,0
33,2022,25739911,3677565,23739911,0.14287403713245161,11938162,348872,0.02922325899078937,NA,NA,NA,NA
33,2023,28198221,34396365,28082540,1.2198062069234794,15331978,15204836,0.9917073974408259,1025000,202175,71042,0.3513886484481266
33,2024,24711883,35134283,20791883,0.929532313872072,23374096,20639756,0.8830183635764994,4756437,3231471,551951,0.1708048749315714
34,2022,25739911,4173630,23739911,0.1621462482912237,11938162,1125137,0.09424708761700502,NA,NA,NA,NA
34,2023,27261470,30164372,26222940,1.1064836929189805,14332167,1992598,0.13902977826032867,3193800,3353490,155262,0.04629863217126039
34,2024,18565392,26965044,15755392,0.7630475830206583,25877575,17366008,0.6710832834993232,3751600,764855,249990,0.32684626497832925
35,2022,25739911,7542965,23739911,0.29304549654425766,11938162,4492965,0.37635316056190227,NA,NA,NA,NA
35,2023,28198221,32227173,28082540,1.1428796518759108,15269337,13605565,0.8910383600807291,2529000,311168,180056,0.5786456190867956
35,2024,11058382,23105115,8358382,0.9378386354879052,12663446,9640677,0.7612996494003291,3892550,1023886,182694,0.17843197387209123
36,2022,25739911,3979308,23739911,0.15459680493844755,11938162,0,0,NA,NA,NA,NA
36,2023,27311339,28688456,26322678,1.050422903102627,14789090,3504593,0.23697151075556372,1893660,120852,0,0
36,2024,9200000,30135246,6500000,0.9294968728630768,21007044,14987772,0.7134641123234664,6004984,1527352,0,0
37,2022,25739911,6458376,23739911,0.25090902606462,11938162,3027116,0.2535663362584626,NA,NA,NA,NA
37,2023,27261470,26191100,26222940,0.9607368934984064,15324450,13946783,0.9101000688442326,5301254,6421415,366646,0.057097384299254914
37,2024,9250000,27766908,6400000,0.9627768174557386,18432701,17947063,0.9736534542604472,2349618,8496203,1009906,0.11886556853690995
38,2022,25739911,3514525,23739911,0.13653990489710707,11938162,0,0,NA,NA,NA,NA
38,2023,28198221,24504837,28082540,0.8690206733254555,15269337,9913547,0.6492454125545857,5873196,1280554,0,0
38,2024,23435000,43395195,20435000,0.9184834616149506,32084545,31304959,0.9757021332233323,4710320,366893,25206,0.06870122896866389
39,2022,25739911,6270441,23739911,0.24360771876794757,11938162,1094093,0.09164668732087905,NA,NA,NA,NA
39,2023,28198221,21756173,28082540,0.7715441693999064,15198297,1251962,0.08237515032111821,1658000,537349,122425,0.227831446601743
39,2024,12700000,39708750,10000000,0.9827405673549046,22449657,19286486,0.8590993617408053,9309800,2950295,314204,0.10649918059041553
40,2022,25739911,7185122,23739911,0.27914323402283714,11938162,610440,0.05113349944488942,NA,NA,NA,NA
40,2023,28198221,18991643,28096442,0.6735050058654409,15324450,445337,0.029060553559834123,5058480,2222935,563332,0.25341811613924836
40,2024,24683047,40045387,21983047,0.7306525592087871,31115556,22329633,0.7176356739374993,3825973,2851744,542203,0.19013032025315035
41,2022,25700000,6026400,23739911,0.23449027237354086,11938162,3720412,0.31164026757217733,NA,NA,NA,NA
41,2023,28198218,30543271,28082534,1.0831631630055487,15216294,869419,0.057137368665458224,6127650,612770,206617,0.3371852407918142
41,2024,24191187,27327603,21491187,0.6825377395554199,24344470,12952143,0.5320363515821047,3470434,550586,44520,0.08085930263392095
42,2022,25739911,5319175,23739911,0.20665086992725032,11938162,1834781,0.15369040895910108,NA,NA,NA,NA
42,2023,28198221,27119684,28082540,0.9617515941874489,15216296,2923917,0.192156948050958,1360000,213403,0,0
42,2024,12920000,34603752,10000000,0.9974713384195973,24770588,17682766,0.7138613746270375,3492463,875894,487592,0.5566792328752109
43,2022,25739911,4460818,23739911,0.1733035518265778,11938162,20900,0.0017506882550261925,NA,NA,NA,NA
43,2023,28198221,19120538,28082540,0.6780760389103979,15216297,10073288,0.662006531549693,3227785,78435,78100,0.9957289475361765
43,2024,21875495,37761766,19010495,0.8865323996004405,25971254,22589169,0.8697758298463371,9037517,4300217,308784,0.07180660882927536
44,2022,25739911,7592364,23739911,0.29496465624919993,11938162,1662889,0.13929187759388756,NA,NA,NA,NA
44,2023,27261470,24640029,26209038,0.9038408053564243,14762086,4558250,0.3087808863869239,6040000,6493000,63824,0.009829662713691668
44,2024,10096215,29122553,7286215,0.9836226327533497,19092222,17957663,0.9405748058031171,2158910,6348967,757080,0.11924459522312843
45,2022,25739911,5820320,23739911,0.2261204399657792,11938162,1978737,0.165748881611759,NA,NA,NA,NA
45,2023,27261470,25996161,26222940,0.9535861785883153,14619613,1711343,0.1170580233553378,5698000,5982900,0,0
45,2024,14906250,24015969,13000000,0.6948880323465936,23551292,13550863,0.5753766290189091,NA,NA,NA,NA
46,2022,25739911,4681486,23739911,0.18187654184196675,11938162,0,0,NA,NA,NA,NA
46,2023,28198218,26013726,28082534,0.9225308492898381,15216297,6170274,0.40550430896557815,3838652,1283234,499599,0.38932805708078183
46,2024,20112560,37141884,17412560,0.8872862274816256,21334335,18544730,0.869243405055747,5034154,4299897,1102457,0.25639149030779107
47,2022,25739911,8854024,23739911,0.34398036574407737,11938162,3851706,0.32263810794324954,NA,NA,NA,NA
47,2023,28198218,23484301,28082534,0.8328292589269294,15216297,5043777,0.33147203948503373,6151359,652437,136293,0.2088983304135112
47,2024,18191165,38481637,15234990,0.9387622497407292,27125164,21617431,0.7969511631339814,3789020,5468961,870702,0.15920793730289903
48,2022,25739911,9020111,23739911,0.3504328744571028,11938162,3652334,0.3059377147001356,NA,NA,NA,NA
48,2023,27261470,30815180,26222940,1.1303565068207988,14337847,3792600,0.2645167018451236,6162713,618646,0,0
48,2024,21693739,31346014,18693739,0.9642257221077241,20687813,19814698,0.9577956838646985,3977499,541802,221159,0.408191553371896
49,2022,26538440,6587868,23739911,0.24823870581692067,11938162,68099,0.005704311936795631,NA,NA,NA,NA
49,2023,28198221,29431467,28082540,1.0437348866795533,15216297,5401267,0.3549659289641889,0,0,0,NA
49,2024,24640082,35841182,21940082,0.8506819293845731,22627680,20945956,0.9256784610706886,6530625,3664903,828197,0.22598060576228074
50,2022,26298325,5341916,23739911,0.2031276136407927,11938162,864998,0.07245654733115534,NA,NA,NA,NA
50,2023,28198221,26179307,28082540,0.9284027882468189,15216297,7119405,0.46788026022362733,0,0,0,NA
50,2024,25734306,38898532,23034306,0.84156179253542,22763919,20176453,0.8863347739025077,8166838,3664898,718101,0.19594024172023342
51,2022,25739911,6931926,23739911,0.26930652557423373,11938162,2627609,0.22010163708617791,NA,NA,NA,NA
51,2023,28198221,23279769,28096442,0.8255758049417373,15325000,5299963,0.3458377161500816,5731900,1791462,274284,0.15310623390281233
51,2024,7700000,29779170,5000000,0.8271364421531368,18115384,15026060,0.8294640621473991,6247275,2124499,304519,0.14333685259442344
52,2022,25739911,6809881,23739911,0.26456505618842274,11938162,533351,0.044676140263467695,NA,NA,NA,NA
52,2023,27261470,21714449,26209038,0.7965252424025557,14762086,4161760,0.2819222161420818,2350000,2526250,0,0
52,2024,13686451,38178270,10876451,0.9907478692181578,22095869,23350674,1.0567891219847474,3500000,3565254,2887413,0.8098758181044043
53,2022,25700000,4829668,23739911,0.18792482490272375,12855162,0,0,NA,NA,NA,NA
